date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:27	50314/50314	---M--	200	added ('OK')	image/jpeg	etag:%22d3b6c5cac2bd31:0%22	http://static.emol.cl/emol50/img/valusersocial_01.jpg	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/valusersocial_01.jpg	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:27	464/464	---M--	200	added ('OK')	image/png	etag:%22796bb8f720ced01:0%22	http://static.emol.cl/emol50/img/emol_sesion.png	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/img/emol_sesion.png	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:28	6716/6716	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2210d89d6c57ced21:0%22	http://static.emol.cl/emol50/js/comentarios/vendor/jquery.ui.widget.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/comentarios/vendor/jquery.ui.widget.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:28	1071/1071	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22effb1458f251d11:0%22	http://static.emol.cl/emol50/js/comentarios/tmpl.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/comentarios/tmpl.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:29	17089/17089	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%227862b75af251d11:0%22	http://static.emol.cl/emol50/js/comentarios/load-image.all.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/comentarios/load-image.all.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:29	1212/1212	---M-Z	200	added ('OK')	application/x-javascript	etag:%2249b3525df251d11:0%22	http://static.emol.cl/emol50/js/comentarios/canvas-to-blob.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/comentarios/canvas-to-blob.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:29	31848/31848	---M-Z	200	added ('OK')	application/x-javascript	etag:%223fdcf362f251d11:0%22	http://static.emol.cl/emol50/js/comentarios/jquery.blueimp-gallery.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/comentarios/jquery.blueimp-gallery.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:29	9511/9511	---M--	200	added ('OK')	application/javascript	etag:%2258d2881e-2527%22	http://rvv.emol.com/www/noticias/huemul.js	C:/Mis%20lugares%20Web/emol/rvv.emol.com/www/noticias/huemul.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:30	2211/2211	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%227111ca755ced21:0%22	http://static.emol.cl/emol50/js/comentarios/jquery.iframe-transport.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/comentarios/jquery.iframe-transport.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:30	17965/17965	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bc2bfa98afcdd21:0%22	http://static.emol.cl/emol50/js/comentarios/jquery.fileupload.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/comentarios/jquery.fileupload.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
15:07:30	1920/1920	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2234bbbc3b6cdd21:0%22	http://static.emol.cl/emol50/js/comentarios/jquery.fileupload-process.min.js	C:/Mis%20lugares%20Web/emol/static.emol.cl/emol50/js/comentarios/jquery.fileupload-process.min.js	(from http://www.emol.com/noticias/Nacional/2017/12/03/885860/Kast-llama-a-Pinera-a-avanzar-en-una-agenda-liberal-y-creer-mas-en-el-Estado.html)
